variable,lasso_coefficient,selected
lag_rail_gdp_growth,1.810981145707322,yes
lag_investment_growth,-0.0,no
lag_goods_earnings_growth,0.0,no
lag_freight_growth,0.0,no
lag_operating_ratio,1.123491938846329,yes
lag_fiscal_deficit,0.0,no
lag_gov_expenditure,0.0,no
lag_gdp_deflator,0.0,no
