horizon,forecast_year,predicted_real_gdp_growth_of_railways
short_term_1_year,2024-25,11.637981652673098
medium_term_3_year,2026-27,11.695762612905902
medium_term_5_year,2028-29,11.743750368599937
long_run_10_year,2033-34,11.83108674279509
