variable,lasso_coefficient,selected
investment_growth,0.0,no
goods_earnings_growth,-0.0,no
freight_growth,0.0,no
operating_ratio,0.5920257864510855,yes
fiscal_deficit_gdp,-0.38866597822283233,yes
gov_expenditure_gdp_2024,0.0,no
gdp_deflator_growth_rate_y_y_chg,0.0,no
