component,explained_variance_ratio,cumulative_explained_variance
PC1,0.558239150529997,0.558239150529997
PC2,0.19638507822813173,0.7546242287581286
PC3,0.12330543933187982,0.8779296680900084
PC4,0.058136549626108355,0.9360662177161168
