component,explained_variance_ratio,cumulative_explained_variance
PC1,0.3980220246589913,0.3980220246589913
PC2,0.20268867607722557,0.6007107007362169
PC3,0.16098435303827416,0.7616950537744911
PC4,0.06778709860524346,0.8294821523797345
PC5,0.041661578621362716,0.8711437310010972
PC6,0.041038002701074335,0.9121817337021716
